kind	file	width	height	duration_seconds	frame_rate	bytes	sha256
png	screenshots/alien-gui-splash-contacting.png	3410	1360	-	-	262137	8e1a997d50a07e9ee6d37453a86129746466f86d5a46e7d865d818d3ef9af33e
png	screenshots/alien-gui-dashboard.png	3410	1360	-	-	469607	4f99375dcfed6f1b6bb8195a9d254047f07590fd999cb74d41ebdc831a05e705
png	screenshots/alien-gui-fans.png	3410	1360	-	-	312646	92b1af0111ee090bd5f6fc21f9b03f89d21e8f1c6d645f38fbe50d31c597afef
png	screenshots/alien-gui-lighting.png	3410	1360	-	-	334921	5acba00ef075861d640f8d4be9c361f88ece44ff4f222dfa42f8833b13e08521
png	screenshots/alien-gui-performance-initial.png	3410	1360	-	-	336404	7ad4cab9ce5ec60bf878075701fe310ffc84b25c1abb4fd31b76e01313fbab70
png	screenshots/alien-gui-performance.png	3410	1360	-	-	359992	7036f45041ecd75f10d24c947a5fa06260e960fa70166bfa0844771376935c68
png	screenshots/alien-gui-about.png	3410	1360	-	-	529591	a039cb85119f2dff0ed73010cda81546ea0a15b426a54b5fd3640ac5b499ce55
png	screenshots/alien-gui-model-catalog.png	3410	1360	-	-	531202	2b07b43739ae79952ef4443b17d5c542fbb0bae94382f7a82bdae288f43ada35
png	screenshots/alien-gui-first-run.png	3410	1360	-	-	287076	5b65c640ba69c171d44735504e939f20b4e07d2df0315491bccd3266466a8b80
png	screenshots/alien-gui-link-lost.png	3410	1360	-	-	435155	88d07dce04b72aebaa3cc3c33a7f2ca8b04bd5c24ccf3b7efe55135cd50cd26d
png	screenshots/alien-gui-performance-narrow.png	2000	1375	-	-	215332	428344153930a458d533d1733f6f6474f59bbd463b2e732f50f7af51030ce9ea
png	screenshots/alien-tui-rich.png	1837	1277	-	-	255694	8e8a18230e9ed554327b12895977698d8709d5afceb431212efafb0fe5b06f8a
png	screenshots/alien-tui-tight.png	1187	917	-	-	187160	0db2450ff76180637532560850c45c3629043a773af46d78fb7cad69654d3106
png	screenshots/alien-tui-confirmation.png	1837	1277	-	-	269355	08f1cbcf80ad525aa8b5049ceaadc6086c72f51ce5886961ee7adf238c1c91dd
video	videos/alien-gui-walkthrough.mp4	1920	1080	37.000000	30/1	1664572	bfe719e854e9610af06483000d6228a577dea6c7e77407d0636b0408215d6aa8
video	videos/alien-gui-walkthrough.webm	1920	1080	37.000000	30/1	1592085	0ae40343a2f9fd97fb1e53779df360673949112e7d956d3ca2ab441207aaf79a
video	videos/alien-tui-walkthrough.mp4	1920	1080	24.000000	30/1	1513610	cdc54a4110881b96b383afc51383c3c74ec6a512522dbfbaa942f411dfa92b9f
video	videos/alien-tui-walkthrough.webm	1920	1080	24.000000	30/1	1048642	4e73ec2d81c14720b3e029b4179de9961dab987aee23928ef408552702169ce2
gif	demo/alien-demo.gif	1280	720	10.000000	-	2764388	195ecce9cae45253b4a0b0383442f0d7bc2c40174f161e12553bcbcd0ac9f52b
